record,label,rep_index,start_s,end_s,duration_s,peak_s,peak_env,mean_env,status,reason,segment_file
1-5_preprocessed,1,2,10.735,15.3305,4.5955,12.476,1.55516617412081,0.473048860988285,valid,valid_complete_cycle,segmented_records/1-5_preprocessed/1-5_preprocessed_rep02.csv
1-5_preprocessed,1,3,15.9495,30.0865,14.137,17.674,2.33524120459549,0.598775619287799,rejected,too_long_or_multiple_cycles,
1-6_preprocessed,1,1,0.261,1.4295,1.1685,0.5845,0.476269414081187,0.261043185286543,valid,valid_complete_cycle,segmented_records/1-6_preprocessed/1-6_preprocessed_rep01.csv
1-6_preprocessed,1,2,4.572,8.5795,4.0075,5.621,1.33114242464043,0.545780712371441,valid,valid_complete_cycle,segmented_records/1-6_preprocessed/1-6_preprocessed_rep02.csv
1-6_preprocessed,1,3,9.833,14.1945,4.3615,10.9685,1.66660142693222,0.558931241698598,valid,valid_complete_cycle,segmented_records/1-6_preprocessed/1-6_preprocessed_rep03.csv
1-6_preprocessed,1,4,14.2455,18.425,4.1795,15.838,1.20348493170248,0.547934122295538,valid,valid_complete_cycle,segmented_records/1-6_preprocessed/1-6_preprocessed_rep04.csv
1-6_preprocessed,1,5,19.884,22.9005,3.0165,20.766,1.36154009520582,0.622193253037388,valid,valid_complete_cycle,segmented_records/1-6_preprocessed/1-6_preprocessed_rep05.csv
1-6_preprocessed,1,6,25.182,28.1765,2.9945,26.0705,1.56685113083313,0.65965955048843,valid,valid_complete_cycle,segmented_records/1-6_preprocessed/1-6_preprocessed_rep06.csv
1-6_preprocessed,1,7,30.358,30.857,0.498999999999999,30.857,0.489056479001753,0.269617510797039,rejected,record_ended_before_return_to_quiet,
1-7_preprocessed,1,1,4.3435,8.4125,4.069,4.8735,1.04224696964252,0.512218594965668,valid,valid_complete_cycle,segmented_records/1-7_preprocessed/1-7_preprocessed_rep01.csv
1-7_preprocessed,1,2,9.13,13.4825,4.3525,9.8995,1.13487873668562,0.575042335319643,valid,valid_complete_cycle,segmented_records/1-7_preprocessed/1-7_preprocessed_rep02.csv
1-7_preprocessed,1,3,14.203,18.524,4.321,15.6205,1.07096318759733,0.558727316483672,valid,valid_complete_cycle,segmented_records/1-7_preprocessed/1-7_preprocessed_rep03.csv
1-7_preprocessed,1,4,19.038,23.48,4.442,22.189,1.30935917782021,0.614311085575289,valid,valid_complete_cycle,segmented_records/1-7_preprocessed/1-7_preprocessed_rep04.csv
1-7_preprocessed,1,5,23.5935,28.4195,4.826,25.946,0.990496291994656,0.549571500672796,valid,valid_complete_cycle,segmented_records/1-7_preprocessed/1-7_preprocessed_rep05.csv
1-7_preprocessed,1,6,29.363,30.883,1.52,30.215,1.2647952515302,0.734795860198996,rejected,record_ended_before_return_to_quiet,
1-8_preprocessed,1,1,4.3625,8.763,4.4005,5.2145,0.705687988832464,0.418919081109695,valid,valid_complete_cycle,segmented_records/1-8_preprocessed/1-8_preprocessed_rep01.csv
1-8_preprocessed,1,2,9.44,13.5115,4.0715,9.9435,0.992176778264802,0.520457286995447,valid,valid_complete_cycle,segmented_records/1-8_preprocessed/1-8_preprocessed_rep02.csv
1-8_preprocessed,1,3,14.1065,18.355,4.2485,16.229,0.940516125304329,0.518247958524961,valid,valid_complete_cycle,segmented_records/1-8_preprocessed/1-8_preprocessed_rep03.csv
1-8_preprocessed,1,4,19.096,23.6335,4.5375,20.012,1.26144659070956,0.622344784477858,valid,valid_complete_cycle,segmented_records/1-8_preprocessed/1-8_preprocessed_rep04.csv
1-8_preprocessed,1,5,24.303,28.8525,4.5495,25.854,1.07910810721219,0.593004599096237,valid,valid_complete_cycle,segmented_records/1-8_preprocessed/1-8_preprocessed_rep05.csv
1-8_preprocessed,1,6,29.372,31.466,2.094,31.4005,1.28574152284488,0.764792834616573,rejected,record_ended_before_return_to_quiet,
1-9_preprocessed,1,1,4.2795,8.56,4.2805,5.3235,0.632924703481912,0.365505210606354,valid,valid_complete_cycle,segmented_records/1-9_preprocessed/1-9_preprocessed_rep01.csv
1-9_preprocessed,1,3,23.795,28.4145,4.6195,25.4985,1.07117108483402,0.557634434009814,valid,valid_complete_cycle,segmented_records/1-9_preprocessed/1-9_preprocessed_rep03.csv
1-9_preprocessed,1,2,9.3405,23.738,14.3975,16.2605,1.82648654289381,0.557905317084938,rejected,too_long_or_multiple_cycles,
1-9_preprocessed,1,4,29.051,30.2935,1.2425,30.017,0.961540868453383,0.602725747865628,rejected,record_ended_before_return_to_quiet,
2-10_preprocessed,2,1,4.874,7.6175,2.7435,6.3515,1.80976115220368,0.733440109813237,valid,valid_complete_cycle,segmented_records/2-10_preprocessed/2-10_preprocessed_rep01.csv
2-10_preprocessed,2,2,10.69,13.333,2.643,11.7265,1.50578349727141,0.564460661586351,valid,valid_complete_cycle,segmented_records/2-10_preprocessed/2-10_preprocessed_rep02.csv
2-10_preprocessed,2,3,15.1445,17.5855,2.441,16.2865,1.29279420793458,0.580283466609571,valid,valid_complete_cycle,segmented_records/2-10_preprocessed/2-10_preprocessed_rep03.csv
2-10_preprocessed,2,4,20.08,22.3825,2.3025,21.0565,1.41552615793847,0.649046230889799,valid,valid_complete_cycle,segmented_records/2-10_preprocessed/2-10_preprocessed_rep04.csv
2-10_preprocessed,2,5,24.099,28.089,3.99,26.043,1.54455075352038,0.452947248092525,valid,valid_complete_cycle,segmented_records/2-10_preprocessed/2-10_preprocessed_rep05.csv
2-11_preprocessed,2,2,5.806,7.8995,2.0935,6.6225,1.563460317267,0.62185538677487,valid,valid_complete_cycle,segmented_records/2-11_preprocessed/2-11_preprocessed_rep02.csv
2-11_preprocessed,2,3,10.939,13.6515,2.7125,11.959,1.66202417367267,0.600777902894306,valid,valid_complete_cycle,segmented_records/2-11_preprocessed/2-11_preprocessed_rep03.csv
2-11_preprocessed,2,4,15.8695,18.1135,2.244,16.7795,1.7932639431045,0.691298109076418,valid,valid_complete_cycle,segmented_records/2-11_preprocessed/2-11_preprocessed_rep04.csv
2-11_preprocessed,2,5,20.9285,23.137,2.2085,21.8415,1.5581795624056,0.613416897896249,valid,valid_complete_cycle,segmented_records/2-11_preprocessed/2-11_preprocessed_rep05.csv
2-11_preprocessed,2,6,25.6095,28.6805,3.071,26.623,1.71044833700958,0.598321001354616,valid,valid_complete_cycle,segmented_records/2-11_preprocessed/2-11_preprocessed_rep06.csv
2-11_preprocessed,2,1,0,0.3485,0.3485,0,0.326355595408459,0.179792756717772,rejected,too_short,
2-12_preprocessed,2,2,7.5495,9.6765,2.127,8.516,2.0723218763242,0.797718783651723,valid,valid_complete_cycle,segmented_records/2-12_preprocessed/2-12_preprocessed_rep02.csv
2-12_preprocessed,2,3,12.581,15.0035,2.4225,13.575,1.66687780148271,0.622903837877589,valid,valid_complete_cycle,segmented_records/2-12_preprocessed/2-12_preprocessed_rep03.csv
2-12_preprocessed,2,4,17.69,19.9585,2.2685,18.645,2.13435748779534,0.72141891454205,valid,valid_complete_cycle,segmented_records/2-12_preprocessed/2-12_preprocessed_rep04.csv
2-12_preprocessed,2,5,22.6125,25.2075,2.595,23.5,2.09415324136051,0.706950393217088,valid,valid_complete_cycle,segmented_records/2-12_preprocessed/2-12_preprocessed_rep05.csv
2-12_preprocessed,2,6,27.4885,29.782,2.2935,28.347,2.00396658249962,0.78147254175268,valid,valid_complete_cycle,segmented_records/2-12_preprocessed/2-12_preprocessed_rep06.csv
2-12_preprocessed,2,1,0,0.7475,0.7475,0,0.739153548508292,0.2944976570007,rejected,boundary_not_returned_to_quiet,
2-13_preprocessed,2,1,5.962,7.91,1.948,6.8505,1.49595116205947,0.539356409277654,valid,valid_complete_cycle,segmented_records/2-13_preprocessed/2-13_preprocessed_rep01.csv
2-13_preprocessed,2,2,7.998,9.0365,1.0385,8.378,0.270452594260103,0.170623672463127,valid,valid_complete_cycle,segmented_records/2-13_preprocessed/2-13_preprocessed_rep02.csv
2-13_preprocessed,2,3,11.075,14.2915,3.2165,12.0035,1.69933334685369,0.545195240503361,valid,valid_complete_cycle,segmented_records/2-13_preprocessed/2-13_preprocessed_rep03.csv
2-13_preprocessed,2,4,15.925,19.607,3.682,16.968,1.52452400496852,0.537595921196447,valid,valid_complete_cycle,segmented_records/2-13_preprocessed/2-13_preprocessed_rep04.csv
2-13_preprocessed,2,5,20.617,32.485,11.868,27.2435,1.5536609154859,0.46739706869255,rejected,too_long_or_multiple_cycles,
2-14_preprocessed,2,1,5.1275,8.628,3.5005,6.1225,1.20394215203663,0.435912701005796,valid,valid_complete_cycle,segmented_records/2-14_preprocessed/2-14_preprocessed_rep01.csv
2-14_preprocessed,2,2,9.9145,14.018,4.1035,10.7435,1.15991953659365,0.471698313755161,valid,valid_complete_cycle,segmented_records/2-14_preprocessed/2-14_preprocessed_rep02.csv
2-14_preprocessed,2,3,14.487,18.7985,4.3115,15.6095,1.13603868359747,0.419038393705227,valid,valid_complete_cycle,segmented_records/2-14_preprocessed/2-14_preprocessed_rep03.csv
2-14_preprocessed,2,4,19.853,24.2385,4.3855,20.4005,1.39037418899754,0.450872299850536,valid,valid_complete_cycle,segmented_records/2-14_preprocessed/2-14_preprocessed_rep04.csv
2-14_preprocessed,2,5,24.676,30.481,5.805,25.664,2.01948499349481,0.458350256325702,rejected,too_long_or_multiple_cycles,
2-15_preprocessed,2,1,4.472,7.4675,2.9955,5.3705,1.47895790594182,0.550670676086418,valid,valid_complete_cycle,segmented_records/2-15_preprocessed/2-15_preprocessed_rep01.csv
2-15_preprocessed,2,2,10.836,14.4255,3.5895,11.64,1.39385152249519,0.450937132351099,valid,valid_complete_cycle,segmented_records/2-15_preprocessed/2-15_preprocessed_rep02.csv
2-15_preprocessed,2,3,15.469,18.795,3.326,16.6075,1.4059264198418,0.474420064530439,valid,valid_complete_cycle,segmented_records/2-15_preprocessed/2-15_preprocessed_rep03.csv
2-15_preprocessed,2,4,20.725,23.5975,2.8725,21.7125,1.61376973333517,0.623513252663975,valid,valid_complete_cycle,segmented_records/2-15_preprocessed/2-15_preprocessed_rep04.csv
2-15_preprocessed,2,5,25.8755,28.3055,2.43,26.653,1.76423855749118,0.671266330425094,valid,valid_complete_cycle,segmented_records/2-15_preprocessed/2-15_preprocessed_rep05.csv
2-16_preprocessed,2,1,6.2495,8.943,2.6935,7.3315,1.61609215957647,0.643700694697684,valid,valid_complete_cycle,segmented_records/2-16_preprocessed/2-16_preprocessed_rep01.csv
2-16_preprocessed,2,2,11.2885,14.416,3.1275,12.131,1.3880534210295,0.510544402475736,valid,valid_complete_cycle,segmented_records/2-16_preprocessed/2-16_preprocessed_rep02.csv
2-16_preprocessed,2,3,16.2975,19.731,3.4335,17.5565,1.76657673830777,0.539490117513952,valid,valid_complete_cycle,segmented_records/2-16_preprocessed/2-16_preprocessed_rep03.csv
2-16_preprocessed,2,4,21.1985,23.994,2.7955,22.042,1.84795130421482,0.645727474512989,valid,valid_complete_cycle,segmented_records/2-16_preprocessed/2-16_preprocessed_rep04.csv
2-16_preprocessed,2,5,26.292,29.0215,2.7295,27.1605,1.63206696004315,0.600934627859394,valid,valid_complete_cycle,segmented_records/2-16_preprocessed/2-16_preprocessed_rep05.csv
2-17_preprocessed,2,1,2.493,3.1355,0.6425,2.8245,0.570767119301534,0.261694495547139,valid,valid_complete_cycle,segmented_records/2-17_preprocessed/2-17_preprocessed_rep01.csv
2-17_preprocessed,2,2,6.492,9.005,2.513,7.4505,2.93352194421613,0.807182505405825,valid,valid_complete_cycle,segmented_records/2-17_preprocessed/2-17_preprocessed_rep02.csv
2-17_preprocessed,2,3,10.4765,14.9775,4.501,12.429,1.67115627081771,0.523743744514373,valid,valid_complete_cycle,segmented_records/2-17_preprocessed/2-17_preprocessed_rep03.csv
2-17_preprocessed,2,4,16.2345,19.889,3.6545,17.217,2.22483169989254,0.554376800102407,valid,valid_complete_cycle,segmented_records/2-17_preprocessed/2-17_preprocessed_rep04.csv
2-17_preprocessed,2,5,21.172,24.339,3.167,22.0575,1.98876734543382,0.564833152993141,valid,valid_complete_cycle,segmented_records/2-17_preprocessed/2-17_preprocessed_rep05.csv
2-17_preprocessed,2,6,26.1725,29.474,3.3015,27.1625,2.39640248329833,0.625695037297988,valid,valid_complete_cycle,segmented_records/2-17_preprocessed/2-17_preprocessed_rep06.csv
2-18_preprocessed,2,2,6.049,9.3595,3.3105,7.1085,2.17510539139882,0.656662208213984,valid,valid_complete_cycle,segmented_records/2-18_preprocessed/2-18_preprocessed_rep02.csv
2-18_preprocessed,2,4,21.261,23.8695,2.6085,22.367,2.0139834894939,0.682612377823279,valid,valid_complete_cycle,segmented_records/2-18_preprocessed/2-18_preprocessed_rep04.csv
2-18_preprocessed,2,5,26.052,29.194,3.142,26.979,1.67851284831164,0.578496833309364,valid,valid_complete_cycle,segmented_records/2-18_preprocessed/2-18_preprocessed_rep05.csv
2-18_preprocessed,2,1,0,0.3975,0.3975,0,0.375448152694542,0.202737520424128,rejected,too_short,
2-18_preprocessed,2,3,11.1525,19.1275,7.975,12.1855,1.71911548362404,0.463410657799926,rejected,too_long_or_multiple_cycles,
2-19_preprocessed,2,1,5.9835,8.7555,2.772,7.022,1.86155344458104,0.645737407901905,valid,valid_complete_cycle,segmented_records/2-19_preprocessed/2-19_preprocessed_rep01.csv
