record,label,rep_index,start_s,end_s,duration_s,peak_s,peak_env,mean_env,status,reason,segment_file
3-6_preprocessed,3,3,14.801,17.6895,2.8885,15.7015,1.21789245058443,0.6007301299515,valid,valid_complete_cycle,segmented_records/3-6_preprocessed/3-6_preprocessed_rep03.csv
3-6_preprocessed,3,4,19.6785,22.5195,2.841,20.4475,1.44386293383444,0.730058550109079,valid,valid_complete_cycle,segmented_records/3-6_preprocessed/3-6_preprocessed_rep04.csv
3-6_preprocessed,3,5,24.7785,27.812,3.0335,25.723,1.24091614203556,0.650064954127372,valid,valid_complete_cycle,segmented_records/3-6_preprocessed/3-6_preprocessed_rep05.csv
3-7_preprocessed,3,1,4.7805,7.907,3.1265,6.2135,1.40766607487824,0.605148470040285,valid,valid_complete_cycle,segmented_records/3-7_preprocessed/3-7_preprocessed_rep01.csv
3-7_preprocessed,3,2,9.826,12.9765,3.1505,11.2295,1.1195793741695,0.536522186690637,valid,valid_complete_cycle,segmented_records/3-7_preprocessed/3-7_preprocessed_rep02.csv
3-7_preprocessed,3,3,14.736,18.162,3.426,16.0635,1.39589891317994,0.646270290487638,valid,valid_complete_cycle,segmented_records/3-7_preprocessed/3-7_preprocessed_rep03.csv
3-7_preprocessed,3,4,19.708,23.036,3.328,21.102,1.36790392370972,0.604455452652635,valid,valid_complete_cycle,segmented_records/3-7_preprocessed/3-7_preprocessed_rep04.csv
3-7_preprocessed,3,5,24.6585,28.012,3.3535,26.2295,1.40104972804197,0.667921558707765,valid,valid_complete_cycle,segmented_records/3-7_preprocessed/3-7_preprocessed_rep05.csv
3-8_preprocessed,3,1,5.2385,8.717,3.4785,6.7185,0.988715048955453,0.622132312234087,valid,valid_complete_cycle,segmented_records/3-8_preprocessed/3-8_preprocessed_rep01.csv
3-8_preprocessed,3,3,15.0455,17.9675,2.922,16.3035,0.971424963282794,0.632064228251586,valid,valid_complete_cycle,segmented_records/3-8_preprocessed/3-8_preprocessed_rep03.csv
3-8_preprocessed,3,4,20.3905,23.4845,3.094,21.873,1.195087815259,0.638186808683557,valid,valid_complete_cycle,segmented_records/3-8_preprocessed/3-8_preprocessed_rep04.csv
3-8_preprocessed,3,5,25.0905,29.2835,4.193,26.528,1.60869884642875,0.585669551208403,valid,valid_complete_cycle,segmented_records/3-8_preprocessed/3-8_preprocessed_rep05.csv
3-8_preprocessed,3,6,30.1595,34.05,3.8905,31.217,1.23673446454918,0.795158638489375,valid,valid_complete_cycle,segmented_records/3-8_preprocessed/3-8_preprocessed_rep06.csv
3-9_preprocessed,3,1,4.8255,8.2655,3.44,6.07,1.13609338459525,0.65729434818618,valid,valid_complete_cycle,segmented_records/3-9_preprocessed/3-9_preprocessed_rep01.csv
3-9_preprocessed,3,2,9.7105,13.08,3.3695,11.006,1.16871801190886,0.632504600424091,valid,valid_complete_cycle,segmented_records/3-9_preprocessed/3-9_preprocessed_rep02.csv
3-9_preprocessed,3,3,14.7065,17.758,3.0515,16.0355,1.25951259985063,0.688456309233801,valid,valid_complete_cycle,segmented_records/3-9_preprocessed/3-9_preprocessed_rep03.csv
3-9_preprocessed,3,4,19.853,22.818,2.965,21.196,1.19180919891411,0.657882308457387,valid,valid_complete_cycle,segmented_records/3-9_preprocessed/3-9_preprocessed_rep04.csv
3-9_preprocessed,3,5,25.14,28.029,2.889,26.206,1.27642976386307,0.716198872099239,valid,valid_complete_cycle,segmented_records/3-9_preprocessed/3-9_preprocessed_rep05.csv
