time_s,EMG_ch1_uV,EMG_ch2_uV
2.323,574.383288221662,5.99793814327269
2.3235,451.259861686304,3.82667082511862
2.324,339.209112041338,0.940646643753074
2.3245,247.304920822774,-3.25954941427851
2.325,169.646515949177,-6.61259947690614
2.3255,86.4296812716047,-7.20983992622135
2.326,-14.2235619593056,-7.47569822611872
2.3265,-119.815252414002,-11.6319459909515
2.327,-209.424044814601,-19.2987464570291
2.3275,-287.290536810371,-25.083284441642
2.328,-389.228445754335,-25.1387775730885
2.3285,-544.546972511313,-21.0587394496205
2.329,-732.973141667247,-16.2790309709535
2.3295,-889.374617367918,-11.7011203924538
2.33,-955.991483989997,-6.7100455352791
2.3305,-926.176412490263,-1.9249824051503
2.331,-835.625784421104,1.64988137099859
2.3315,-719.246385779912,4.65186168514007
2.332,-584.407048019006,8.04965548991675
2.3325,-421.732810006696,10.8301786535302
2.333,-231.248588891597,11.3695019413517
2.3335,-34.8819061683369,10.3947804280388
2.334,132.561345126198,10.1365536190761
2.3345,244.621221402668,10.8677136980125
2.335,300.775078822808,10.780755737241
2.3355,325.078458851597,9.38617050556148
2.336,344.972912964445,8.49580433833677
2.3365,371.227248963593,9.19185378666926
2.337,399.806461189484,10.1414860918941
2.3375,427.637250871015,9.9647492177969
2.338,455.799930927426,9.24286533195978
2.3385,474.728106797425,8.91908571298075
2.339,456.741357047211,8.59817717852563
2.3395,375.508993361282,7.96185785177498
2.34,236.001042337437,8.09323670108701
2.3405,80.3038193820479,9.48160613143416
2.341,-41.7022701279137,10.2588086629252
2.3415,-109.299419683818,8.71590112608188
2.342,-137.993103595654,6.32328684111109
2.3425,-151.496524898297,5.50102596521439
2.343,-154.702261059662,5.17290006684323
2.3435,-142.038720387738,1.84774074925655
2.344,-126.031020833412,-4.64187890246978
2.3445,-138.245614980238,-9.83859748495217
2.345,-192.459824879124,-10.5431241937223
2.3455,-259.971008164939,-9.4347594123798
2.346,-296.818006386646,-11.7240392220808
2.3465,-289.547170882462,-18.6596560293611
2.347,-258.789755358293,-26.3107514947077
2.3475,-221.825472902047,-30.0111625813192
2.348,-171.814425067977,-28.4112068787009
2.3485,-98.5603708856941,-23.5782446175189
2.349,-11.7636144172115,-18.4630518312531
2.3495,67.7993656425685,-14.3450696074536
2.35,129.564720277927,-10.2474438958851
2.3505,175.171707730731,-4.96231960534259
2.351,207.667568314458,0.658817094838074
2.3515,230.046089197993,4.56834702674865
2.352,249.091460193058,6.52379737785904
2.3525,269.490852596153,8.30498369317227
2.353,286.457967860172,10.4632181896447
2.3535,292.916600275831,11.196595623228
2.354,290.944059239617,9.76585395963891
2.3545,286.187851096814,8.65747433192073
2.355,272.786744303101,10.164759012994
2.3555,236.050855879988,12.7337442749619
2.356,174.056486918225,13.388868927962
2.3565,107.986266473028,12.3103320927194
2.357,64.4927642927192,11.9023426471038
2.3575,50.8281566395597,12.3252430269021
2.358,51.1307660980786,11.53416889336
2.3585,44.6022783715413,9.55963744387856
2.359,23.5534413684609,9.01761471047779
2.3595,-4.86202678751959,10.6368676952091
2.36,-29.5135876741786,11.7033049807641
2.3605,-44.6680424800821,10.3103676554137
