time_s,EMG_ch1_uV,EMG_ch2_uV
0.357,43.0136004633047,24.6707021372262
0.3575,40.4005488452931,68.2105905280593
0.358,29.1770305431339,82.8918449118439
0.3585,3.47549215862821,58.8404385045029
0.359,-39.9882356166206,14.9854056737324
0.3595,-96.3447811875604,-11.160205749637
0.36,-149.491648553128,-4.32002104264892
0.3605,-182.78249114866,11.3700540066235
0.361,-193.499748541391,4.59024649177909
0.3615,-191.535010053864,-27.0140857416601
0.362,-185.084431387778,-64.8420873859073
0.3625,-174.399967771662,-100.004243423722
0.363,-159.102419310589,-136.083810862057
0.3635,-143.463044499431,-166.691765958362
0.364,-131.619254513539,-172.249271664451
0.3645,-123.100863076065,-144.539596300301
0.365,-115.780203182878,-100.726719256746
0.3655,-108.8229887696,-66.6411544344192
0.366,-100.488887737526,-54.1872400795973
0.3665,-87.520948205089,-57.9178250432793
0.367,-69.8696588069343,-64.6673743949844
0.3675,-52.883387950783,-62.1367044005592
0.368,-41.9232508235859,-45.0789097601071
0.3685,-36.6577645040159,-18.2592854844514
0.369,-31.8327849608289,8.79661783882097
0.3695,-20.8412876963505,29.4196157930257
0.37,2.20360475416067,38.6118996552007
0.3705,39.0895195543483,29.6828726066535
0.371,82.5690869654539,3.19041171520672
0.3715,117.6233477687,-22.4139004799136
0.372,131.796821317946,-23.164780061504
0.3725,124.647990827361,3.36006331984403
0.373,106.950861531457,34.9436224718223
0.3735,92.7861843393581,53.6553757400845
0.374,91.6033664300752,66.1635410858974
0.3745,101.9953998579,87.8326402154418
0.375,110.408641373101,118.050060175622
0.3755,101.6150703465,142.78389625775
0.376,75.4461635976925,153.663795805413
0.3765,48.7906242730207,151.360952774617
0.377,35.5120001646296,134.518916367046
0.3775,29.3698168141624,99.7659169313815
0.378,15.1712653506521,53.4886446583794
0.3785,-7.37700194890968,11.2112565442814
0.379,-24.0121206174005,-19.3071764707467
0.3795,-31.5130924644302,-46.0721651188924
0.38,-48.6803463853968,-78.9671094794478
0.3805,-92.3285893301992,-113.87490950854
0.381,-150.87714107052,-136.407087798232
0.3815,-193.338799143029,-138.085580837887
0.382,-200.721882696214,-122.974470955569
0.3825,-177.733069846673,-99.087964016924
0.383,-136.447825966856,-69.1972554965363
0.3835,-83.5246983201196,-33.5602802917057
0.384,-28.1201831120252,1.18458815203884
0.3845,11.2237525413571,22.2322336400245
0.385,20.4609242083372,23.1042052337274
0.3855,7.5088988292359,12.9618566013327
0.386,-3.64674599771782,8.75055471557463
0.3865,3.17120426895078,18.7476491912615
0.387,22.9888798298454,37.7877202709251
0.3875,38.39654233763,56.6510889631656
0.388,36.3850283524635,68.7053839628067
0.3885,18.428338201995,67.1924915543388
0.389,-0.288124106052748,46.6428148768806
0.3895,-3.1252468891724,13.4666398814234
0.39,10.1946157132014,-12.4992691562439
0.3905,19.2693207780502,-16.16244865768
0.391,3.84637337706712,-3.42215618420322
0.3915,-31.456737828948,8.47009807590209
0.392,-61.1408617020912,13.5345512967272
0.3925,-67.0323364373059,21.3511904872682
0.393,-52.2371196350433,40.8102517881077
0.3935,-26.0396660609366,69.6115420869553
0.394,10.6627946788524,100.687184494513
0.3945,56.6894664317771,129.313323579629
0.395,99.6419826680684,150.222922017956
0.3955,127.463672330929,155.513836178609
0.396,145.341180325059,141.235657579608
0.3965,167.950136850099,112.60538004033
0.397,196.878881683763,79.5588189781789
0.3975,217.380899929393,50.0397932704649
0.398,217.571796229849,28.2749714367233
0.3985,201.244821561194,13.891236791563
0.399,181.631512520332,0.236927398026505
0.3995,171.331094360284,-20.7266282142399
0.4,177.72358249008,-48.1188193050094
0.4005,197.948323054524,-71.3515227914768
0.401,216.905940003823,-83.2074476171674
0.4015,219.106153902916,-88.9968876434464
0.402,203.606355758281,-98.7151414402703
0.4025,179.046566300289,-115.085008642493
0.403,145.616773283354,-134.42765423435
0.4035,94.8529514569255,-154.116905650714
0.404,28.2957395169927,-171.324701060187
0.4045,-38.972125595633,-177.186004978903
0.405,-98.2055105524038,-161.777026389149
0.4055,-154.329239628983,-127.261658708768
0.406,-204.729998369865,-90.0330161435172
0.4065,-228.034514070375,-65.9837558411336
0.407,-211.091939697373,-55.8364208775975
0.4075,-176.211473776299,-47.1558751381451
0.408,-161.460964877721,-29.796329438082
0.4085,-177.764793768249,-7.90922604367682
0.409,-204.01381842391,4.06696026417203
0.4095,-223.271390016927,-2.22893135069599
0.41,-242.996685729611,-18.7572278787325
0.4105,-273.327142331749,-30.9413121202032
0.411,-303.632186686495,-36.3346869552967
0.4115,-314.063248783338,-45.296769920732
0.412,-300.821680468153,-60.6495520467326
0.4125,-276.956809741082,-67.5747416154717
0.413,-252.304450577316,-53.5647153191766
0.4135,-223.713985787458,-30.4097624251715
0.414,-184.102369251637,-21.0528198844555
0.4145,-132.091099120875,-26.3867601229319
0.415,-71.8224067496499,-22.3412853968605
0.4155,-10.6935954270326,4.82124990476177
0.416,40.7158388504697,36.4254994314309
0.4165,73.438899627551,46.9317577254433
0.417,89.700786126493,40.9842713947469
0.4175,103.767156384234,48.5718738032284
0.418,127.843351546984,86.2477144024932
0.4185,158.612932428832,138.980983608652
0.419,182.216619096236,182.875399406031
0.4195,190.823786134903,210.845525526391
0.42,187.918073000911,226.940335046588
0.4205,177.377530433339,226.66165288076
0.421,156.2698527879,199.05090407526
0.4215,123.407225924306,148.600543400054
0.422,88.043427443365,102.45677738715
0.4225,62.4667456386788,88.2192127465809
0.423,50.1764257900385,107.928223987506
0.4235,48.7697025589462,138.010835092265
0.424,59.5991660377766,152.30855367193
0.4245,83.8004517977456,142.194610116794
0.425,111.176347811846,117.867209054142
0.4255,125.675247373022,95.7789050860477
0.426,123.203607701991,84.1969384074641
0.4265,112.821930223691,76.2100580870162
0.427,99.4188886943605,56.6079525690103
0.4275,79.0618899068537,19.496597191157
0.428,54.8687736099323,-21.7942080292354
0.4285,40.6781789436402,-48.0880029443402
0.429,39.0056825419734,-57.4863207295136
0.4295,30.006301965577,-66.9493351762432
0.43,-2.68606756156397,-87.8323797487412
0.4305,-44.6276560788806,-109.236566895398
0.431,-64.9438916403601,-113.925641729508
