time_s,EMG_ch1_uV,EMG_ch2_uV
7.77,-20.8456691537513,115.895754489473
7.7705,16.4260672560177,104.86548927314
7.771,44.7375870022589,86.4983266594136
7.7715,73.0011355407862,60.3738467250592
7.772,86.7760928238145,37.1852797734224
7.7725,74.4074798431584,14.1071254941738
7.773,53.7253067269963,-23.8134946124392
7.7735,50.2587521336226,-69.1698638146078
7.774,61.6047692656016,-83.632855164996
7.7745,65.1956894032245,-43.3413339912324
7.775,54.3551686395325,23.1549836074721
7.7755,45.6639314601821,64.6476525562824
7.776,52.333426540134,65.7002421173338
7.7765,68.8621431571271,53.7108508656322
7.777,84.2178257180798,54.2533498384252
7.7775,94.9170541747412,63.6179519625981
7.778,100.678913558195,65.9280251466086
7.7785,99.2249806206671,55.157141819715
7.779,91.1726597645829,34.4258298875392
7.7795,82.2323899087701,9.81027119447758
7.78,76.8370920246771,-9.8464701951376
7.7805,76.3832567063775,-19.4494818994791
7.781,85.2789742588513,-25.7198311151763
7.7815,108.995661812578,-36.1438420325191
7.782,141.195734395829,-41.8096513151502
7.7825,161.410676044908,-28.6044263422349
7.783,153.660111615638,-4.64854309603551
7.7835,123.335719648957,4.42362384296325
7.784,88.6417842124879,-10.2822062343654
7.7845,57.6262636280631,-33.7782389803306
7.785,20.8438970659401,-57.5078759264859
7.7855,-32.1862280258627,-89.4011126876165
7.786,-94.4088174226241,-124.513729220817
7.7865,-143.109316225894,-136.522211010431
7.787,-160.614370862864,-118.572734232654
7.7875,-151.66786660373,-105.95659864411
7.788,-138.501307267322,-130.288767578827
7.7885,-138.279351334979,-170.125014290272
7.789,-147.512825900113,-177.963694729749
7.7895,-150.152320526118,-143.962123467272
7.79,-137.756834347197,-100.811768882397
7.7905,-116.98953097177,-72.2927457318504
7.791,-98.4503536735634,-50.9699061733023
7.7915,-84.4399332810675,-27.8527675063642
7.792,-70.4269159733183,-10.9120683461606
7.7925,-54.3583657214817,-4.00536629931792
7.793,-39.7935400075157,5.87512823726426
7.7935,-30.0497897410762,26.0019058130053
7.794,-22.2183736417918,42.3018408575907
7.7945,-8.81502659378072,40.8477446010667
7.795,14.3402765537619,29.6999195225601
7.7955,42.5134989355723,25.2870886159211
7.796,65.7284377739208,29.6536334370956
7.7965,78.8229720536959,35.7061001307938
7.797,86.7548664047863,44.814908038031
7.7975,98.7697983241018,63.2301172342794
7.798,118.055302268328,87.0708492232411
7.7985,138.026756419649,106.705835351521
7.799,147.944169098081,123.84327289163
7.7995,141.662369607523,148.852603958832
7.8,122.430514139003,178.690573423378
7.8005,100.237233242548,191.381123671495
7.801,83.4890108108574,170.954461716583
7.8015,72.7911216937003,130.373075006836
7.802,63.3074205838578,99.8230249171562
