record,label,rep_index,start_s,end_s,duration_s,peak_s,peak_env,mean_env,status,reason,segment_file
1-7_preprocessed,1,3,14.2115,18.078,3.8665,15.5915,1.11764554017127,0.605112199582348,valid,valid_complete_cycle,segmented_records/1-7_preprocessed/1-7_preprocessed_rep03.csv
1-7_preprocessed,1,4,19.0345,23.3,4.2655,22.187,1.29467608033205,0.629378416480609,valid,valid_complete_cycle,segmented_records/1-7_preprocessed/1-7_preprocessed_rep04.csv
1-7_preprocessed,1,5,23.5515,26.7595,3.208,25.9565,1.02356716233217,0.551374450962505,valid,valid_complete_cycle,segmented_records/1-7_preprocessed/1-7_preprocessed_rep05.csv
1-7_preprocessed,1,6,29.3615,30.883,1.5215,30.213,1.34918312295837,0.755253075138792,rejected,record_ended_before_return_to_quiet,
1-8_preprocessed,1,1,4.355,6.728,2.373,5.2165,0.740485232580765,0.454363257737574,valid,valid_complete_cycle,segmented_records/1-8_preprocessed/1-8_preprocessed_rep01.csv
1-8_preprocessed,1,2,9.438,11.87,2.432,9.9425,1.04760199358836,0.562351520951162,valid,valid_complete_cycle,segmented_records/1-8_preprocessed/1-8_preprocessed_rep02.csv
1-8_preprocessed,1,3,14.1105,16.9455,2.835,16.2265,0.915835715566849,0.560763364951325,valid,valid_complete_cycle,segmented_records/1-8_preprocessed/1-8_preprocessed_rep03.csv
1-8_preprocessed,1,5,24.2975,27.0585,2.761,25.835,1.10256538336683,0.732430789186449,valid,valid_complete_cycle,segmented_records/1-8_preprocessed/1-8_preprocessed_rep05.csv
1-8_preprocessed,1,4,19.085,22.4795,3.3945,20.0035,1.29295923010364,0.697497437604122,rejected,boundary_not_returned_to_quiet,
1-8_preprocessed,1,6,29.369,31.466,2.097,31.4005,1.23152354518661,0.765559513655225,rejected,record_ended_before_return_to_quiet,
1-9_preprocessed,1,1,4.2565,7.2295,2.973,5.326,0.642404124547849,0.361925450121831,valid,valid_complete_cycle,segmented_records/1-9_preprocessed/1-9_preprocessed_rep01.csv
1-9_preprocessed,1,2,9.3335,12.1775,2.844,10.966,0.895188430725935,0.520861587804186,valid,valid_complete_cycle,segmented_records/1-9_preprocessed/1-9_preprocessed_rep02.csv
1-9_preprocessed,1,3,14.188,16.8945,2.7065,16.266,1.79102708813364,0.784934754868991,valid,valid_complete_cycle,segmented_records/1-9_preprocessed/1-9_preprocessed_rep03.csv
1-9_preprocessed,1,4,18.5135,21.658,3.1445,20.878,1.2804107725754,0.65147563330912,valid,valid_complete_cycle,segmented_records/1-9_preprocessed/1-9_preprocessed_rep04.csv
