time_s,EMG_ch1_uV,EMG_ch2_uV
0,1.92084307935963e-13,-2.50177591822174e-15
0.0005,12.8494935946612,9.46852476357439
0.001,23.7480393114834,13.2263805650112
0.0015,30.9397863925568,12.530969182169
0.002,35.5525940346011,12.9949092497201
0.0025,41.2449135254878,16.1751856455989
0.003,48.4837026872319,17.4040260137682
0.0035,52.5384976594117,12.9892282249445
0.004,50.4832130399117,6.15713849909166
0.0045,46.4357437331075,2.98478463849671
0.005,45.2665688125615,4.62645616538844
0.0055,44.5604720214085,7.16909462210827
0.006,38.7421865103138,7.96204432872896
0.0065,28.7408869106611,8.08225039623049
0.007,20.6763634031489,8.92757102260372
0.0075,15.902894442199,10.6065598917973
0.008,9.49268862524861,14.0507712259853
0.0085,-0.94613591182949,20.403177005508
0.009,-11.807371598366,27.3574303063474
0.0095,-20.2233219771107,30.4668831510036
0.01,-27.7746045230129,29.487190475956
0.0105,-35.4101997454466,28.7991678496638
0.011,-40.8152137275185,29.5770554965832
0.0115,-43.3315867902077,26.7592074889838
0.012,-45.5366715214453,17.2299021183786
0.0125,-47.3634856084823,6.12162854998519
0.013,-45.1655133707298,0.264383866113534
0.0135,-39.5719323624327,-0.694627191596635
0.014,-36.4129940917513,-1.42035576796621
0.0145,-35.3169109156454,-2.70953358547394
0.015,-26.881408839697,-2.48286737271369
0.0155,-9.713412752152,-2.47652115792511
0.016,-1.40491695116037,-6.68028548852504
0.0165,-18.8841425725427,-13.5294661335574
0.017,-51.6451584715981,-16.437657959165
0.0175,-69.4399521812119,-13.030820685574
0.018,-57.7836708149824,-8.056516209237
0.0185,-32.3731191277737,-5.84575467046008
0.019,-14.499552794265,-5.39350579571617
0.0195,-5.55797309653745,-4.7944751165785
0.02,5.74063864388488,-5.31769841550289
0.0205,21.7705301404357,-8.19119401948859
0.021,34.3843429040692,-11.4276560967967
0.0215,40.2578851821652,-12.8277131145313
0.022,45.3050118499212,-12.9598689719104
0.0225,53.3351350242238,-12.6551352151731
0.023,60.1567715375638,-10.7274566091163
0.0235,61.8260352031698,-6.91617190886687
0.024,61.2528820460551,-4.21231952819671
0.0245,62.2749017257039,-5.24457061627032
0.025,62.505427479805,-8.5421939879558
0.0255,57.3553319022168,-11.0585278400442
0.026,48.0501705494285,-12.2751086468705
0.0265,40.1260950732641,-13.1220725569902
0.027,35.1406285150915,-13.012697655307
0.0275,29.202186598048,-11.2153095081359
0.028,20.0300603512164,-9.69492165377143
0.0285,10.3088768798931,-11.2090146879756
0.029,2.30410386636603,-15.1336824545841
0.0295,-5.87723413399686,-17.9489564546806
0.03,-15.3470910125269,-17.5709402923194
0.0305,-22.2504388922473,-14.9150551779346
0.031,-23.4699360819081,-11.5869752219642
0.0315,-23.0089476849589,-8.42342181721054
0.032,-26.4169778767432,-6.29048595554582
0.0325,-31.4073459952249,-6.0530298479509
0.033,-31.7639417779967,-7.1709564033217
0.0335,-29.1101170777813,-7.85209344185601
0.034,-30.8266286301489,-7.14186544373858
0.0345,-35.2125801886514,-5.78710394084096
0.035,-30.7212594850584,-4.60160275213774
0.0355,-15.7898418460806,-2.88347540314071
0.036,-7.99936657584996,0.785725967527975
0.0365,-22.4841890188109,6.30645412392699
0.037,-48.4841389907313,11.2847130048386
0.0375,-60.4095586406693,13.2871178163056
0.038,-49.2534711235234,12.9415246326001
0.0385,-30.1413625896158,13.47331777793
0.039,-18.8149807182451,16.2506365142669
0.0395,-13.7849839793177,18.4801634212624
0.04,-5.8265579472679,17.3827085609471
0.0405,6.11011109007917,15.0152621598514
0.041,16.1395784401123,15.5664305090077
0.0415,21.8523599515072,18.778393665008
0.042,25.7571652803015,20.4146090732637
