time_s,EMG_ch1_uV,EMG_ch2_uV
0,-3.11709712173579e-16,-8.08583717661254e-15
0.0005,16.4739016631581,-9.77890081789435
0.001,38.3059001787275,-20.2472095673635
0.0015,57.7560588679593,-34.875739098412
0.002,67.8481189275403,-54.5803689031599
0.0025,78.6713642981492,-72.3560422212334
0.003,103.014753657575,-78.8153040859977
0.0035,131.968715795579,-72.743585457372
0.004,143.545904083083,-62.1611644291701
0.0045,134.953128724429,-54.6871305540265
0.005,128.003571852318,-49.8341371230576
0.0055,137.821152542533,-41.446078556639
0.006,152.057284943473,-25.8281322937776
0.0065,149.822016048815,-6.52077055950657
0.007,128.948547717896,8.89971606493585
0.0075,103.446785708767,16.7967221279167
0.008,82.3087122458509,20.9220431076392
0.0085,63.0159594702385,26.0184298002116
0.009,41.8384363867515,30.139836340554
0.0095,18.7984864942402,28.2725106023937
0.01,-7.23249235354016,22.5450976355533
0.0105,-38.6460325039,20.9164533341382
0.011,-71.9532491298199,23.173183921021
0.0115,-96.9788213671975,16.7035208957572
0.012,-106.481409493302,-7.2698195319195
0.0125,-104.091994702879,-39.4150055387707
0.013,-101.655822137098,-62.1975481938742
0.0135,-109.722005695453,-69.6845452365057
0.014,-128.591512334027,-68.845301571474
0.0145,-145.923218848513,-64.9656108729806
0.015,-145.582172690303,-57.423389183426
0.0155,-122.990641116089,-50.0951736598203
0.016,-90.3627569902664,-53.3575440423145
0.0165,-63.5373867553796,-69.412624598282
0.017,-46.4253792467529,-83.2550215890868
0.0175,-32.7440811521568,-75.7473512613655
0.018,-19.096185719154,-42.8818995354467
0.0185,-8.73978680493662,2.41618561064195
0.019,-4.20925622553425,44.6024347109974
0.0195,-4.71510764841769,76.9041370919135
0.02,-10.8747711675303,100.468996206522
0.0205,-22.8917662237736,117.813354431037
0.021,-32.0091296407698,129.34581263406
0.0215,-23.678998332204,135.105683650781
0.022,4.45613193643893,138.028229914386
0.0225,34.3455844822278,143.182913361639
0.023,44.7571701719572,152.107859176781
0.0235,33.6940156152909,159.200718681838
0.024,18.0035849143716,155.84716836902
0.0245,13.59689004101,137.065642645297
0.025,22.2272472241886,102.91842735305
0.0255,36.0014583810622,57.5020907405784
0.026,47.345748063129,10.7761671459688
0.0265,52.12441010066,-23.6011079077801
0.027,47.9073290463393,-40.8734995411032
0.0275,34.2154435598835,-53.3033679333927
0.028,15.0341567500427,-75.2814893507604
0.0285,-1.41162662949782,-100.555870474608
0.029,-8.37806185925138,-107.211813069437
0.0295,-7.17430206526635,-89.4540257275924
0.03,-5.5190066006331,-70.8366095713822
0.0305,-6.45885196463735,-75.8608653031004
0.031,-1.23500542103014,-98.4652990747418
0.0315,21.3020068084474,-111.629365192274
0.032,57.9870987227979,-102.040625317556
0.0325,89.99531880335,-80.9078066548433
0.033,100.97319275968,-62.8447131456768
0.0335,92.6457949784204,-49.3904916931639
0.034,80.0654428373053,-36.5883112715029
0.0345,75.155706147747,-26.0911482126062
0.035,77.5014914030323,-21.4719693756897
0.0355,77.7072985974107,-20.6166898112287
0.036,66.6370246734578,-17.9728296067119
0.0365,43.7490697473087,-10.3304269978925
0.037,18.4833301986707,3.06636653143503
0.0375,1.46853448446199,21.6470310828127
0.038,-5.42914291062399,41.6765613723438
0.0385,-6.23801727116155,57.611046092732
0.039,0.00945330518891172,67.6649426328379
0.0395,17.491474394521,73.2061770724676
0.04,38.2784420828878,70.9678883120246
0.0405,40.6571791598065,53.3930122573166
0.041,12.5756081118451,21.5406542720116
0.0415,-29.8120842123237,-9.41096977218841
0.042,-57.2552199969865,-25.2105100702868
0.0425,-57.5915341578458,-28.8279636378304
0.043,-42.5456687385897,-33.9754284998943
0.0435,-29.2479195346412,-45.4970169794128
0.044,-26.1051371979148,-55.1205939582261
0.0445,-34.4880560478975,-55.9804875766596
0.045,-51.2976509278409,-52.0572653709843
0.0455,-67.0606783398197,-50.4073095144359
0.046,-71.3310686205823,-50.9386787672828
0.0465,-64.4994808528104,-48.0570412529068
0.047,-58.4265069828875,-38.1440843430883
0.0475,-62.8485072745948,-21.7339783645148
0.048,-75.8038107435059,-1.55736581896101
0.0485,-87.6913199873816,17.8689997510023
0.049,-88.9290869400301,30.9202272141462
0.0495,-74.2896996110186,34.9744262585323
0.05,-47.8490301540572,33.4839050181123
0.0505,-24.8942261943803,32.5707238762576
0.051,-20.835362951004,34.5827892371324
0.0515,-35.4190230102329,36.424557553053
0.052,-53.8495150436696,34.207489293792
0.0525,-64.0068892029348,28.6339975345775
0.053,-64.702708775813,25.474979035298
0.0535,-56.9585163410777,30.4934716868037
0.054,-39.3273760870138,43.7719170565196
0.0545,-17.2720079639499,60.0185513237301
0.055,-6.40780208722324,74.8155491071989
0.0555,-16.7567044096241,87.8955940932888
0.056,-38.4188304957387,97.8687498112842
0.0565,-49.3102197805278,97.1400473870373
0.057,-33.4128208935028,78.2739444039386
0.0575,11.1271606203864,45.2988337154064
0.058,72.6376273671091,12.2969906736759
0.0585,127.257910818466,-11.2838569069794
0.059,148.796331477955,-28.2313070558067
0.0595,130.127813568417,-43.8111685730327
0.06,92.7358460581749,-55.1043998808398
0.0605,65.8293539929789,-56.0319859757379
0.061,58.2149413028344,-48.2925051930624
0.0615,59.2346049515727,-39.6576256938136
0.062,62.8762764692243,-33.4338861244259
0.0625,76.0525488432304,-27.2438984192316
0.063,100.08733997933,-21.9470559164738
0.0635,118.071731243224,-23.8327666826531
0.064,111.717197034621,-35.3346082474986
0.0645,85.6741413994029,-49.3011073998991
0.065,64.5337356375035,-55.9882601508744
0.0655,64.553450439119,-52.4117195616279
0.066,75.4000645926993,-42.6402312130682
0.0665,73.8008895060977,-32.2655217114877
0.067,50.8066421792236,-24.8008301701579
0.0675,18.3830918854029,-20.4837412667183
0.068,-11.325281019315,-16.38263768213
0.0685,-44.2528223863583,-9.95362158571875
0.069,-93.3904254540018,-3.52652390338381
0.0695,-152.788156907299,-1.93623298822056
0.07,-194.298817000668,-4.36946536263743
0.0705,-195.208939485247,-2.6592659580651
0.071,-162.372183056959,9.56569800209526
0.0715,-123.13672056723,28.8695210545389
0.072,-96.8409072724172,45.2181827103735
0.0725,-81.1954524497423,50.5346729809941
0.073,-63.3528919969274,43.2722294794117
0.0735,-36.6748619223395,29.1338946581818
0.074,-5.21121594409156,19.0928857757807
0.0745,24.2202057951729,20.992481841214
0.075,51.3388667055603,29.4975522563071
0.0755,82.0867052178391,29.8243305672623
0.076,117.559707419078,15.9217702324224
0.0765,146.181990275959,-0.691144633934193
0.077,153.247832866868,-5.78507871564489
0.0775,137.885238705233,-0.0425126449070051
0.078,112.455143970687,5.76667409551997
0.0785,84.1983390242016,7.32908529134501
0.079,49.0119073512215,7.78217640043362
0.0795,8.74976943462657,5.65797849235367
0.08,-18.9503355446951,-5.16430079557449
0.0805,-21.8452620610368,-22.347972483573
0.081,-16.0969533738223,-33.5181021598591
0.0815,-30.9349248659626,-31.4943066083466
0.082,-70.7842217216254,-22.1613575224959
0.0825,-107.659322545206,-13.8241909268052
0.083,-115.039416597122,-7.58303439007411
0.0835,-97.6448073115097,-2.31156122323013
0.084,-81.9224404765273,-0.195117961358834
0.0845,-85.7336996750636,-1.51403102615718
0.085,-104.275155404641,-1.45173817206522
0.0855,-120.650910573275,1.87950934205766
0.086,-123.39666004138,3.08528896777786
0.0865,-114.16110997726,-0.983402785263909
0.087,-101.205651059806,-4.84886687466287
0.0875,-86.7157350976287,-4.69135160471561
0.088,-63.4434418255052,-7.17868425240585
0.0885,-26.2335627283597,-18.230063254234
0.089,17.8759932170065,-29.2276685680013
0.0895,57.3259349621233,-26.4409545651319
0.09,89.8241078664747,-11.1577594977245
0.0905,119.636393175949,1.59698476782009
0.091,144.1157993079,3.6625012366532
0.0915,155.188672904586,1.41971449822187
0.092,155.216964535528,1.97982373126198
0.0925,158.356918191369,3.64888697091224
0.093,170.636335145121,4.25369905720304
0.0935,179.147634449195,8.56233014852298
0.094,168.379101963657,20.4621103455643
0.0945,139.511120738888,34.5494095875723
0.095,106.404516378803,42.5736401039205
0.0955,79.4314227660798,44.0653914083148
0.096,60.965587278886,44.4348219677081
0.0965,50.4858019607709,45.6180268747528
0.097,44.3152123435687,44.7132190903969
0.0975,32.9234714343103,40.4057973878152
0.098,6.94433860325329,35.111038971329
0.0985,-33.9491115914391,30.5868504320052
0.099,-81.9928421917427,25.8784024147272
0.0995,-128.259639483249,20.5325501721777
0.1,-164.806918322582,15.8403478108151
0.1005,-185.168863999268,10.4903676981634
0.101,-189.626798380227,-1.73805086614106
0.1015,-186.873816777935,-24.8084155873598
0.102,-184.276650323845,-50.7167569896707
0.1025,-179.586386610616,-62.8511936644249
0.103,-167.537683139308,-53.8800636540732
0.1035,-148.924286969444,-36.8247780599188
0.104,-125.087755654725,-31.1992715821392
0.1045,-89.8539273622996,-39.3072937864708
0.105,-39.5600262939896,-45.4435423446138
0.1055,12.2494844583791,-40.4228228983412
0.106,45.21093872223,-35.7963077777386
0.1065,58.1809528609382,-46.2696583951383
0.107,69.7309665750943,-66.8240211295927
0.1075,88.3378905838517,-78.2498852874735
0.108,97.7497952017046,-70.5811272760427
0.1085,81.691501602344,-50.1471822606159
0.109,49.940379360541,-26.9291629906093
0.1095,25.5707098164036,-7.25674279266863
0.11,14.2720236554391,2.17921047823431
0.1105,2.09625546431336,-3.19102024874226
0.111,-19.3384914682468,-15.6828235914031
0.1115,-40.9023897031287,-18.0086930469754
0.112,-50.7133305645116,-0.807143929982621
0.1125,-47.7224338176849,28.532035749312
0.113,-36.5473281179331,54.9607412392974
0.1135,-19.8524578484965,65.7183783012636
0.114,-2.0243977648983,53.240628871947
0.1145,8.28863196729265,22.1421417561803
0.115,7.28741748569429,-4.05715888325615
0.1155,2.89961366011721,1.68744258037266
0.116,5.71643417883614,40.1595541741858
0.1165,15.4782423883614,83.1389008705029
0.117,21.1507287129045,107.299115855477
0.1175,12.4863505578713,117.681049047218
0.118,-10.0991083423136,128.531793032897
0.1185,-31.612993951526,136.57047720028
0.119,-25.5920349898012,129.817834069292
0.1195,29.5589711995626,111.889919963248
0.12,126.938934271774,96.9755145388532
0.1205,227.14697505138,84.5465125224033
0.121,287.786385274699,58.373836510403
0.1215,297.309680498542,11.7643137436215
0.122,274.150585574565,-41.8881405536813
0.1225,237.486866281826,-85.929991345329
0.123,191.584099448452,-114.59931445513
0.1235,138.700382004126,-129.004320029145
0.124,90.9535027171879,-132.829675612447
0.1245,58.6461035673912,-134.775542126332
0.125,34.4858762770724,-141.356473198862
0.1255,0.769754710087498,-142.603691226179
0.126,-48.4280119140689,-118.080945347875
0.1265,-98.6062926420857,-63.6277966171121
0.127,-128.096500468735,-0.904167560798597
0.1275,-126.391338053356,45.8190638054363
0.128,-101.329552015443,70.8587872867601
0.1285,-72.8580509543955,78.7722588037083
0.129,-59.3883300975516,69.3658441734895
0.1295,-66.431794859845,43.9695486583537
0.13,-86.7117583592657,16.2265912931593
0.1305,-110.357316073661,0.547013560628333
0.131,-132.692863130633,-6.21149035498641
0.1315,-152.617186887453,-18.2866702596451
0.132,-168.517408213592,-39.1063302433356
0.1325,-178.42427449508,-58.4647862902187
0.133,-180.4658241916,-69.388203147099
0.1335,-170.856635124192,-74.0685069500065
0.134,-145.938124664778,-72.9955035171859
0.1345,-109.580701050155,-63.206719390742
0.135,-74.0526139010147,-51.7320029688889
0.1355,-48.9768273851304,-56.8164693743528
0.136,-32.8793097427593,-86.4898503646678
0.1365,-19.7500915958965,-124.749236225497
0.137,-9.3729096028104,-148.343700732984
0.1375,-5.06721298164964,-151.079710689155
0.138,-5.03110645729828,-142.724069524065
0.1385,-3.98899784709557,-129.967671484511
0.139,-2.2401494946182,-110.304875418626
0.1395,-4.90632408381842,-82.2912869457293
0.14,-10.6118350605796,-48.5684595511508
0.1405,-7.65307038700966,-5.77870437997868
0.141,14.2856909338478,56.8554747383283
0.1415,50.8552262763828,140.929362377645
0.142,84.2361190424665,227.052514745706
0.1425,98.1696920831149,287.998906560274
0.143,92.5858808250931,311.964004471714
0.1435,83.2351092479355,307.880512992095
0.144,84.4584485288161,291.11672562105
0.1445,92.5766426150796,270.984562582343
0.145,91.4424387416268,250.343100812761
0.1455,75.4220874211858,227.964145102743
0.146,58.2513838980373,198.082970861575
0.1465,52.9891454422219,154.305187469796
0.147,51.3535386720075,98.9299350405556
0.1475,34.3434694905718,45.0876438588215
0.148,0.110695084116898,6.0418785057853
0.1485,-31.0083934753006,-15.3141253897231
0.149,-40.5290416098997,-24.9729686071903
0.1495,-30.8459517624692,-31.0112324445848
0.15,-17.1915707780921,-41.6110257251934
0.1505,-9.01267852608571,-63.5964333174216
0.151,-4.3923206798035,-95.4660535228008
0.1515,2.33212267161447,-124.663773456197
0.152,13.1029744794608,-139.180642371045
0.1525,25.5946095713097,-140.761719525546
0.153,37.914649038504,-139.898812284854
0.1535,52.4803134242414,-139.36563987544
0.154,72.0289902874296,-131.853725610052
0.1545,91.0603210747438,-114.880877621563
0.155,98.353961185082,-97.763424163924
0.1555,93.4895064181249,-88.4941397904273
0.156,92.8885236411668,-81.6982603973187
0.1565,108.51582718363,-67.3250463236848
0.157,125.917699544346,-46.5159888070012
0.1575,117.700651762602,-30.7017572191441
0.158,77.5377116081942,-26.9666585074427
0.1585,26.0019662194364,-31.5644299175308
0.159,-18.1701527836973,-37.1903777921596
0.1595,-55.7048367290476,-39.5029295048586
0.16,-90.6746205529536,-35.4125324544656
0.1605,-114.766057151662,-21.8453696411462
0.161,-120.32448526046,-0.396646973858836
0.1615,-116.88451647022,20.1974301010715
0.162,-119.637360817651,30.3323928540947
0.1625,-127.807622454547,27.8136009928909
0.163,-128.305144515872,18.3303667072332
0.1635,-117.524043610755,8.66953338568181
0.164,-106.410815701726,0.807943924467329
0.1645,-103.843838828952,-7.91084185398193
0.165,-105.870391699673,-19.8031810947016
0.1655,-103.618387086195,-32.0927935802028
0.166,-93.6434288094607,-37.5086062711258
0.1665,-77.2844112421392,-30.9592046751893
0.167,-55.8172080799794,-16.0560790330371
0.1675,-30.637183068429,-3.83236817895663
0.168,-5.77287261800885,-3.81557235978641
0.1685,13.6710404509173,-15.8292335675566
0.169,26.7871249517702,-29.711966489094
0.1695,39.3332186855306,-32.3908764755801
0.17,57.6230570382162,-16.6549966406282
0.1705,77.8873586480541,13.9308030052187
0.171,85.7679155222928,47.0353405177987
0.1715,72.324204988988,69.3745086064134
0.172,48.2327948759075,74.5623505178174
0.1725,34.4155645568515,65.2032360829931
0.173,39.3634179805562,49.2610048784549
0.1735,53.7212363014477,35.1541750840179
0.174,65.3834696319801,28.0867373849798
0.1745,68.0098609538695,27.5236149926401
0.175,54.7923332488226,27.6335302896383
0.1755,20.4411428371008,22.9079082506935
0.176,-23.9491327925689,14.6306152587612
0.1765,-53.088793828831,9.66392400392072
0.177,-54.8584717804927,11.607415676526
0.1775,-42.9229972239115,15.9975445208699
0.178,-31.2739998400983,16.931709628369
0.1785,-10.8116247362681,15.8597436918768
0.179,31.5406984855184,19.1829093536951
0.1795,81.5132013516275,27.7327807885897
0.18,107.749408566345,33.9426994937319
0.1805,101.042967178026,31.4245727738012
0.181,83.4811058812235,23.1823032338042
0.1815,76.5794515447919,17.0711680684461
0.182,77.312483462506,16.0626578580283
0.1825,70.1794313329403,16.9247551775521
0.183,48.6482049694599,16.5300876886034
0.1835,17.9647744146499,14.7378606540705
0.184,-13.1219864147486,11.5640131692487
0.1845,-37.1378524448144,6.43056457451783
0.185,-51.1264268181435,1.17008313928292
0.1855,-59.2254834559767,-0.904468449222767
0.186,-67.314185749919,-1.28072366789802
0.1865,-74.3653370865917,-7.57238845724951
0.187,-74.4507359251345,-24.6749833531894
0.1875,-65.8967390742825,-46.7341767921857
0.188,-51.5479799728276,-61.8835888356843
0.1885,-32.5129083040604,-64.2665405096263
0.189,-10.4272897808276,-58.1276362481481
0.1895,7.07587399770063,-50.5820051603251
0.19,14.2358733246351,-44.1581158636497
0.1905,18.3217919955744,-37.2890469038134
0.191,30.2999354218452,-28.6047237539923
0.1915,45.559237297409,-18.195725182485
0.192,48.1160033389172,-6.3288774207548
0.1925,34.2788198784925,6.53311487356927
0.193,16.6853128358767,18.8677025312045
0.1935,3.15410685910132,29.1982714758725
0.194,-10.8190432641108,37.837382577186
0.1945,-23.7160281411445,45.3585787249593
0.195,-21.8763316770793,49.1971598595427
0.1955,-3.17908948771532,45.1566381024947
0.196,9.44102694577355,34.787205992047
0.1965,-6.33949221118292,28.2350921358043
0.197,-43.5307283699976,34.4183154128202
0.1975,-77.3409275811646,48.7223372111995
0.198,-96.7476355273289,56.5398819819706
0.1985,-108.954808400739,50.8058215114406
0.199,-118.251534690377,39.380343993891
0.1995,-118.079410137891,31.0820465737559
0.2,-105.164787809746,22.2294395213632
0.2005,-87.707730968819,5.75073932920042
0.201,-74.587345208627,-12.2712890527299
0.2015,-64.2286214323742,-18.247942244381
0.202,-48.592541597647,-12.4670755265477
0.2025,-24.3460539211496,-10.9414277843983
0.203,2.97729967142235,-22.0375433913684
0.2035,25.1403234075533,-33.9610399466083
0.204,40.3966151396648,-32.772611987205
0.2045,54.3996349896995,-22.0376141306765
0.205,69.7325563716577,-14.8875489006816
0.2055,78.8636885964424,-15.1192285478543
0.206,75.311818966367,-17.2855856834137
0.2065,68.8309472141074,-18.9925874989212
0.207,76.9095724729357,-20.8841925804285
0.2075,99.8505413210787,-18.9752002723077
0.208,118.090657901475,-10.2153819538042
0.2085,118.406259578391,-3.7671770811671
0.209,107.561319561354,-13.7284472856208
0.2095,92.6987449439659,-40.1246922806309
0.21,65.9332238857091,-68.2507850856664
0.2105,23.4109456927487,-86.7452751900484
0.211,-14.4109205031113,-94.2123550099128
0.2115,-22.037899718051,-87.8491251821537
0.212,-2.80844622233929,-61.1200564724566
0.2125,14.3874037304081,-18.6936203247482
0.213,9.66976754572438,19.2015696183654
0.2135,-11.8293134668099,36.2951868224745
0.214,-35.8338884666597,36.4929209328339
0.2145,-54.4987228230332,34.6429446983636
0.215,-65.4215210550573,39.0256023347483
0.2155,-68.9208256307085,48.0654822571218
0.216,-68.5196903953582,54.9272310892713
0.2165,-64.7422197331013,48.5982591348056
0.217,-50.1526845784959,19.7834413325718
