time_s,EMG_ch1_uV,EMG_ch2_uV
11.0765,-52.9054384989401,-17.2788885778573
11.077,-23.7723972894326,-22.0436270867991
11.0775,6.46108696833044,-18.3182291986113
11.078,30.5113798735231,-18.4656566793284
11.0785,43.006967383031,-22.3450880408642
11.079,46.7465733465045,-18.6601834760641
11.0795,48.7772750935319,-4.87148056136717
11.08,50.3327626135987,7.14152456425742
11.0805,46.2209147335113,6.53755091119954
11.081,35.2087565454024,-5.4950235837853
11.0815,25.1253600449446,-21.3457718259334
11.082,23.273696935622,-34.4318548566372
11.0825,24.8045608492678,-39.7491466462361
11.083,16.5555723715991,-35.4984351182125
11.0835,-6.32161316399917,-26.17507372748
11.084,-31.6246740890351,-17.8191059867868
11.0845,-41.0963297503815,-10.6095614185718
11.085,-28.343106462815,-3.00945780965305
11.0855,-2.75637821207492,-0.278323012992797
11.086,22.6768200055975,-7.5288600410337
11.0865,42.2229402998125,-15.0591283387575
11.087,55.349702249355,-4.62729184181044
11.0875,60.3105668841772,25.8176370401241
11.088,55.4457008518421,56.4892890991137
11.0885,44.4459250416586,70.7711899528971
11.089,34.2918275689082,73.546477956397
11.0895,27.2975118417454,76.2563748326519
11.09,19.3110304534453,76.050582993596
11.0905,6.84331834233261,63.4023520566707
11.091,-7.39899858724136,42.6400941238175
11.0915,-17.3761090183067,28.6624829709469
11.092,-19.2348856997178,24.6795998259791
11.0925,-12.5990906340464,18.0185777046525
11.093,0.813153176699086,0.963197734883932
11.0935,17.5659460940901,-16.6402900140228
11.094,33.1269009501215,-21.6910935182512
11.0945,44.2992906349418,-15.5002237941159
11.095,50.5420107554302,-9.0686452359983
11.0955,51.8913416076458,-6.77317491672228
11.096,46.7606132316333,-4.46094324962332
11.0965,33.6670905023192,-1.68600803781067
11.097,15.4600600027746,-5.34186532888026
11.0975,0.911437576244317,-17.7956666415086
11.098,0.497031424745989,-29.3079865950196
11.0985,18.1598366693147,-29.1798032337177
11.099,45.7116680523497,-20.9914421458498
11.0995,66.8980943004571,-19.7577994322949
11.1,69.6812320967874,-34.6472569732652
11.1005,54.8415005614908,-60.4078100419081
11.101,31.8570619972287,-85.3784563946723
11.1015,8.63250084528258,-101.043105143125
11.102,-11.7504423234647,-103.259392806943
11.1025,-26.8003425579131,-93.1834456213706
11.103,-33.9791606064608,-81.1838983816407
11.1035,-36.1333301643728,-81.5386753628274
11.104,-41.9485126803417,-96.3598573786999
11.1045,-56.3949427245759,-110.632562389904
11.105,-73.1520464474623,-109.567862304143
11.1055,-80.7700161054667,-94.4823384956512
11.106,-75.6000933500748,-74.4651964447026
11.1065,-65.1272099174066,-50.939123641243
11.107,-58.3654398186883,-22.2592663076404
11.1075,-56.1351987909754,3.23776403572375
11.108,-52.5413594986009,14.3950461500386
